DATE,OPEN,HIGH,LOW,CLOSE
01/04/2016,24.72,25.79,21.34,21.93
01/05/2016,21.73,22.09,19.08,19.37
01/06/2016,22.37,22.77,20.11,20.6
01/07/2016,24.16,27.58,23.63,26.19
01/08/2016,23,28.3,22.58,27.98
01/11/2016,26.68,28.34,23.47,24.21
01/12/2016,23.06,23.75,21.42,22.3
01/13/2016,21.48,26.87,21.08,25.57
01/14/2016,25.21,27.53,23.68,24.63
01/15/2016,32.1,35.47,28.96,29.6
01/19/2016,28.83,32.52,28.43,30.43
01/20/2016,34.12,38.55,31.27,32.85
01/21/2016,32.4,33.67,28.2,29.99
01/22/2016,26.17,26.29,22.55,22.59
01/25/2016,25.03,26.32,23.48,26.04
01/26/2016,25.75,26,24.06,24.25
01/27/2016,25.22,26.85,23.51,24.51
01/28/2016,23.4,25.26,22.79,23.4
01/29/2016,22.47,22.48,18.85,19.37
02/01/2016,21.62,22.3,19.25,19.68
02/02/2016,21.59,23.06,21.35,22.19
02/03/2016,21.71,25.2,21.67,22.35
02/04/2016,23.21,23.97,21.56,21.75
02/05/2016,21.7,23.87,21.56,22.96
02/08/2016,26.57,28.88,25.99,26.4
02/09/2016,29.78,30.28,26.01,26.84
02/10/2016,25.64,26.25,23.96,25.53
02/11/2016,29.57,30.04,27.16,27.36
02/12/2016,26,26.49,22.15,22.71
02/16/2016,23.96,24.61,21.56,21.81
02/17/2016,20.98,21.54,20.07,20.27
02/18/2016,20.25,20.7,18.71,19.53
02/19/2016,20.57,21.15,18.18,18.22
02/22/2016,19.54,19.7,17.8,18.39
02/23/2016,19.04,21.16,18.66,20.69
02/24/2016,22.59,23.34,20.47,20.72
02/25/2016,20.47,21.37,17.79,17.79
02/26/2016,17.69,19.22,17.69,18.56
02/29/2016,20.57,20.78,18.77,20.36
03/01/2016,19.6,20,16.92,17.04
03/02/2016,17.55,18.18,15.03,15.78
03/03/2016,16.24,16.74,15.53,15.91
03/04/2016,15.83,16.72,14.86,15.86
03/07/2016,18.6,18.74,17.14,17.66
03/08/2016,19.33,19.73,18.45,19.17
03/09/2016,19.2,19.95,18.72,18.79
03/10/2016,18.33,19.86,16.98,17.66
03/11/2016,16.37,16.72,15.18,15.2
03/14/2016,16.54,17.19,15.66,15.99
03/15/2016,16.97,17.25,16.21,16.46
03/16/2016,17.2,17.2,14.02,14.07
03/17/2016,14.4,14.4,12.44,13.05
03/18/2016,12.76,13,12.32,12.47
03/21/2016,14.01,14.27,12.47,12.77
03/22/2016,13.89,14.12,12.64,13.14
03/23/2016,13.47,13.9,13.17,13.36
03/24/2016,15.27,15.42,12.33,12.35
03/28/2016,14.59,15.08,13.5,14.07
03/29/2016,14.7,14.94,12.06,12.17
03/30/2016,12.15,12.34,11.39,11.87
03/31/2016,12.09,12.79,11.67,12.25
04/01/2016,13.82,13.84,10.72,10.92
04/04/2016,12.4,12.89,11.82,12.5
04/05/2016,14.23,14.53,13.48,13.96
04/06/2016,14.43,14.69,12.15,12.56
04/07/2016,14.09,16.15,13.4,15.2
04/08/2016,14.09,14.53,12.97,13.59
04/11/2016,14.28,15.6,13.64,15.59
04/12/2016,15.2,16.02,13.71,13.71
04/13/2016,13.59,13.59,12.3,12.45
04/14/2016,12.76,12.91,11.84,12.32
04/15/2016,12.52,12.98,12.18,12.2
04/18/2016,14.5,14.5,12.7,12.86
04/19/2016,12.96,13.76,12.69,12.86
04/20/2016,12.41,13.04,12.19,12.8
04/21/2016,12.9,13.63,12.78,13.18
04/22/2016,13.29,13.43,11.73,11.93
04/25/2016,14.07,14.49,13.53,13.62
04/26/2016,13.54,14.06,13.14,13.5
04/27/2016,14.12,14.64,12.42,12.81
